"Notion ou terme à définir",Définition,"Autres explications, exemples, etc. (N/A si vide)"
Niveaux,"En gamification, les niveaux représentent une information chiffrée qui précise un degré de compétence chez un utilisateur, ou l’échelle de difficulté d’une tâche à effectuer. Les niveaux sont généralement utilisés en lien avec un système de points d’expérience. Les niveaux sont au cœur de nombreux programmes de gamification. Ils sont un moyen efficace pour engager les utilisateurs, pour leur permettre de se situer dans une expérience et de se motiver dans
le but d’atteindre une certaine maîtrise par le franchissement de nouveaux paliers.","<h3>Objectif</h3><ul><li>Augmenter la motivation des utilisateurs sur le 
levier d’engagement « Compétence et maîtrise ».</li><li>Renseigner sur les caractéristiques des autres 
joueurs (fonctionnalité sociale permettant ainsi de 
choisir de se mesurer à l’un d’eux en particulier), 
en fonction du levier d’engagement « Influence 
sociale ».</li></ul><p><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.02.27.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""818"" height=""609"" /><br /></p>"
"Gestion du temps","<p>Les chronomètres, les dates limites et autres opportunités qui peuvent s’envoler une fois un certain temps écoulé, représentent tous des mécanismes qui incitent les utilisateurs à agir dans l’instant, avant que cela ne soit plus possible.</p><p>Ces éléments reposent sur l’aversion à la perte et le sentiment d’urgence qui en découle. Ils sont souvent présents sur les sites d’e-commerce pour vous inciter à passer à l’achat plus rapidement, sans vous laisser le temps de bien peser le pour et le contre d’une dépense. 
Parfois, ils sont combinés avec une annonce de pénurie : il ne reste plus beaucoup d’objets disponibles, ils sont donc rares et ont ainsi plus de valeur aux yeux de vos utilisateurs.</p>","<h3>Objectif</h3><ul><li>Accélérer le passage à l’action des utilisateurs.</li><li>Renseigner les utilisateurs sur la durée de la tâche 
ou de l’étape en cours.</li></ul><p><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.04.23.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""854"" height=""510"" /><br /></p>"
"Zone VIP","VIP est un acronyme venant de l’anglais et qui signifie Very Important 
Person (« personnes très importante »). La zone VIP est donc un 
espace physique ou numérique réservé à certains utilisateurs selon des 
critères que vous avez défini en amont, ou accessible sous certaines 
conditions (par abonnement par exemple). Elle permet d’accéder à 
des services ou fonctionnalités spécifiques. C’est ainsi un facteur de 
différenciation sociale qui valorise les utilisateurs y ayant accès.","<h3>Objectif</h3><ul><li>Valoriser certains utilisateurs plus engagés 
que d’autres, considérés comme socialement 
pertinents.</li><li>Donner accès à des fonctionnalités exclusives.</li><li>Créer un lien particulier avec certains membres 
de la communauté (qu’ils soient clients ou pas).</li></ul><p><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.08.29.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""827"" height=""533"" /><br /></p>"
Parrainage,"Le parrainage est une technique qui incite vos utilisateurs actifs à 
faire découvrir vos services à d’autres utilisateurs potentiels, généralement dans leur cercle d’amis, grâce à un système d’incitations. 
Le  parrainage est une technique très efficace quand elle est bien 
conçue car elle permet de trouver de nouveaux utilisateurs tout en 
fidélisant ceux déjà présents.","<h3>Objectif</h3><ul><li>Inciter les utilisateurs actifs à valoriser un service 
ou un produit auprès de nouveaux utilisateurs 
parmi leurs connaissances.</li><li>Attirer de nouveaux clients pour développer son 
chiffre d’affaires, avoir plus de trafic sur son produit, 
améliorer son image.</li><li>Valoriser les utilisateurs les plus fidèles 
via 
des 
récompenses.</li><li>Inciter les utilisateurs à rester en leur permettant 
de créer du lien avec leurs connaissances dans le 
projet de gamification.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.12.09.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""839"" height=""523"" /><br /></p>"
Narration,"La narration est l’histoire vécue par vos utilisateurs au sein de votre 
projet de gamification. La narration sert à favoriser l’immersion de 
vos utilisateurs dans le monde que vous avez imaginé pour eux et à 
les rendre acteurs.","<h3>Objectif</h3><ul><li>Engager les utilisateurs en leur faisant vivre une 
histoire captivante.</li><li>Faire vivre aux utilisateurs une histoire de l’intérieur, voire en devenir.</li></ul><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-15%20a%CC%80%2013.23.03.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""836"" height=""617"" /><br /></p>"
Flow,"<p dir=""ltr"" style=""text-align:left;"">Sentiment de satisfaction et de plénitude dans la réalisation d’une activité, pour laquelle toute notre attention se porte sur la tâche en cours.</p>","<p dir=""ltr"" style=""text-align:left;"">L’état de flow est décrit de la manière suivante :<br /></p><ul><li>Représentation claire de l’objectif que l’on souhaite atteindre</li><li>Être en mesure de se concentrer pendant un temps long</li><li>Perte de la conscience de soi-même (s’oublier dans l’activité)</li><li>Perte de la notion du temps</li><li>Être complètement absorbé par l’activité</li><li>Présence d’un feedback immédiat et direct par rapport à ce qu’on fait</li><li>Bon équilibre entre le niveau de compétence et le défi posé (sentiment d’efficacité)</li><li>Sensation de contrôle de la situation</li><li>Perception de l’activité comme gratifiante</li><li>Perte de la notion des besoins essentiels (faim, fatigue, etc.)</li></ul><p>Physiologiquement et psychologiquement, l’état de Flow a des conséquences positives : augmentation de la capacité à retenir des informations, de la vitesse de traitement de l’information, de la motivation, des capacités d’adaptation et de créativité.</p><p>Pour ces raisons, les serious games et les autres techniques de ludification pédagogiques mettent en œuvre des mécanismes pour susciter et maintenir l’état de flow, et favoriser ainsi l’engagement dans la réalisation d’une activité : leur but est de faire en sorte que l’apprenant soit en permanence captivé par ce qu’il fait.</p><p><br /></p><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-17%20a%CC%80%2011.43.13.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""1200"" height=""1200"" /><br /></p>"
"Serio Ludere","<p dir=""ltr"" style=""text-align:left;"">Au XIe siècle en Italie, on utilisait déjà l'expression <strong>Serio Ludere</strong> (""jouer sérieusement"") pour décrire des fictions divertissantes abordant les problèmes de société de façon légère ou avec humour.<br /></p>",
"Learning games","Les learning games sont des jeux éducatifs. Tous les Serious Games peuvent être utilisés dans un environnement éducatif mais les learning games sont conçus directement pour aider les joueurs à monter en compétence ou apprendre de nouvelles connaissances.","<br /><p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-17%20a%CC%80%2010.15.40.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""1200"" height=""627"" /><br /></p>"
"Persuasive games","Ils portent un message. Celui-ci peut être informatif (ex : publicité), persuasif (ex : communication institutionnelle) ou subjectif (ex : politique). Ils sont souvent financés par des marques ou des organisations qui souhaitent communiquer auprès de leurs consommateurs ou transmettre un message civique.","<br />
<p style=""text-align:center;""><img src=""@@PLUGINFILE@@/Capture%20d%E2%80%99e%CC%81cran%202022-11-17%20a%CC%80%2010.15.40.png"" alt="""" class=""img-fluid atto_image_button_middle"" width=""1200"" height=""627"" /><br /></p>"
"Jeu de stratégie","<p dir=""ltr"" style=""text-align:left;"">Jeu de société, interactif ou vidéo dont les mécanismes et les règles permettent aux joueurs de dominer les autres joueurs ou le jeu lui-même grâce à une série d’actions plannifiées et mises en œuvre selon une temporalité plus ou moins longue.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Il existe différents types de jeux de stratégie :</p><ul><li>Gestion : acquérir et dépenser efficacement des ressources pour atteindre des objectifs précis (Monopoly, Sim City, etc.) <br /></li><li>Wargames : jeux de simulation de conflits consistant à commander des unités ou groupes de combattants, gérer leurs ressources, etc., pour dominer l’adversaire sur un terrain fictif, s’adapter au terrain et aux actions de l’adversaire (Age of Empires, Warcraft, etc.)<br /></li><li>escape game : trouver des indices et réfléchir pour sortir d’une pièce, d’un labyrinthe, etc. dans un temps donné<br /></li><li>enquête, énigmes (Cluedo, etc.)<br /></li></ul>"
Immersion,"<p dir=""ltr"" style=""text-align:left;"">État psychologique caractérisé par le fait de se percevoir comme enveloppé, inclus dans et en interaction avec un environnement qui fournit continuellement un flux de stimuli et d’expérience.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">L’immersion est un ressort favorisant l’engagement, et l’un des éléments de l’état de flow : le joueur est absorbé par la tâche qu’il réalise, et toute son attention lui est dévouée.</p><p dir=""ltr"" style=""text-align:left;"">C’est l’action elle-même, le fait d’agir en immersion, qui devient alors l’objet du plaisir du jeu, et non l’éventuelle récompense liée au succès dans le jeu.</p><p dir=""ltr"" style=""text-align:left;"">Générer de l’immersion nécessite que le game design permette une forme d’équilibre entre le défi proposé par le jeu, et la capacité du participant à relever ce défi :</p><ul><li>s’il est déjà capable de le relever, l’immersion, le flow et l’engagement laissent place à la satisfaction immédiate de réussir avec facilité, puis à l’ennui et au désintérêt</li><li>s’il est incapable de le relever, ou n’a pas les moyens de progresser dans ce but, c’est la frustration, et à nouveau le désintérêt, qui s’imposent.<br /></li></ul>"
"Faiblesses ludiques et pédagogiques","<p dir=""ltr"" style=""text-align:left;"">Limites et problèmes répertoriés par M. Lavigne (Enseignant-chercheur spécialiste de la ludopédagogie, Université Toulouse) à l’utilisation pédagogique des serious games, du point de vue des participants.</p>
<p>Il ressort de <a href=""https://halshs.archives-ouvertes.fr/halshs-02078300/document"" target=""_blank"" rel=""noreferrer noopener"">cet article</a> que ""l’efficacité des serious games prête à suspicion"" : en effet la moindre discontinuité entre le caractère ludique et les objectifs sérieux est systématiquement vécue comme une mauvaise expérience de jeu et/ou d’apprentissage par les participants. <br />La plupart voient dans ce cas <strong>les aspects ludiques comme un frein à l’apprentissage, et les aspects sérieux comme un frein au jeu</strong>. <br /></p>
<p>L’utilisation du jeu comme activité d’apprentissage doit donc être parfaitement justifiée d’un point de vue pédagogique.<br /></p>","<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">En
 se fondant sur de nombreuses données quantitatives, l’auteur remarque 
notamment qu’une activité ludifiée ou un jeu sérieux est généralement 
perçu comme :</p><ul><li>un
 piège, un vernis, une mauvaise idée, par les joueurs avertis, dont les 
critères d’acceptation des mécaniques ludiques sont très sévères, et qui
 sont généralement peu réceptifs au serious game car souvent déçus par 
leur pauvre qualité ludique.<br /></li><li>un
 parasitage qui détourne l’attention des contenus sérieux, par les 
participants souhaitant avant tout atteindre les objectifs pédagogiques :
 autant consulter directement les ressources plutôt que perdre du temps à
 batailler avec un jeu mal fait.</li></ul><p>Ces retours globalement négatifs de la part des participants proviennent d’après l’auteur de différents écueils perçus :</p><h5>La pauvreté des modalités ludiques des serious games : <br /></h5>Les étudiants sont les plus sévères sur la qualité ludique des jeux (perçus comme ""faux jeux"", décevants, ne fonctionnant pas réellement comme des jeux).<br /><p>Lorsque les décors, ou les éléments du jeu sont de bonne qualité (cartes, graphismes, etc.), ils sont souvent perçus comme un vernis, derrière lequel se trouvent des activités moins engageantes comme des qcm. Les éléments ludiques ne servent alors que de décor, et n’ont aucune valeur pédagogique.</p><p>L’équilibrage de la difficulté, lié à la linéarité des jeux, est aussi visé et mal vécu par les participants : la pratique systématique des faux-choix fait que quelles que soient les décisions ou actions réalisées, on arrive toujours à la (même) fin, ce qui enlève tout enjeu et rend le jeu facile et inintéressant. Ici, la fonction première des éléments ludiques (engager et motiver) est perdue.</p><h5>Les faiblesses pédagogiques</h5><p>Les aspects ludiques sont la plupart du temps perçus comme des obstacles à l’apprentissage : des énigmes trop compliquées, peu ou pas alignées avec les contenus d’apprentissage, des mécaniques de jeu non pertinentes vis-à-vis des objectifs pédagogiques, deviennent des freins. Un travail de dégamification est nécessaire pour centrer le jeu sur l’apprentissage, et non sur ses propres mécaniques.</p><p>De la même manière, de nombreux jeux ne servent que de parcours ludiques composés d’obstacles à la fin desquels on débouche sur des contenus sérieux : ""récupérer directement les documents en ligne est plus efficace que de perdre du temps inutilement"".</p><p>La conclusion à tirer est que la pertinence d’un jeu sérieux, de ses règles, de ses supports, de son contenu, etc., n’est jamais garantie, à partir du moment ou tous ces éléments ne sont pas strictement et systématiquement alignés sur les objectifs pédagogiques : il ne sert à rien de faire un jeu juste pour faire un jeu, <strong>les aspects ludiques doivent toujours correspondre à des objectifs d’apprentissage clairement identifiés</strong>.<br /></p><p></p>"
"Règle du jeu","<p dir=""ltr"" style=""text-align:left;"">Ensemble des principes et consignes qui régissent les conditions de déroulement d’un jeu.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">Les règles d’un jeu contiennent le cas échéant des indications précises sur (liste non-exhaustive) :</p><ul><li>Nombre de joueurs</li><li>Terrain (ou cadre spatial)</li><li>Durée (ou cadre temporel)</li><li>Matériel, supports<br /></li><li>But du jeu<br /></li><li>Conditions et modalités d’action pour les joueurs<br /></li><li>Déroulement (d’une situation initiale à une situation de finale)</li><li>Conditions de fin de partie</li><li>Variantes possibles</li><li>etc.<br /></li></ul>"
"Escape game pédagogique","Un escape game pédagogique est un jeu interactif et immersif destiné à favoriser l’engagement et l’apprentissage dans lequel un ou plusieurs joueurs doivent élucider des énigmes, et trouver la solution dans un temps limité pour sortir d’une situation.","<p dir=""ltr"" style=""text-align:left;"">Focus sur les mots-clefs ""immersif"", ""énigmes"", ""temps limité"" et ""sortir"" :</p>
<ul>
    <li><strong>Immersif</strong> : Créer une expérience réaliste et immersive pour les joueurs.</li>
    <li><strong>Énigmes</strong> : Poser des défis sous forme d'énigmes pour les joueurs à résoudre.</li>
    <li><strong>Temps limité</strong> : Fixer une contrainte de temps pour ajouter une pression et un défi supplémentaires.</li>
    <li><strong>Sortir</strong> : Trouver une solution pour sortir de la situation présentée dans le jeu.<br /></li>
</ul>
<p dir=""ltr"" style=""text-align:left;"">Quelques variantes possibles* :</p>
<ul>
    <li>Jeu d'évasion grandeur nature<ul>
            <li>Jeu d'évasion impliquant un environnement physique : une pièce, un laboratoire, etc.<br /></li>
        </ul>
    </li>
    <li>Jeu d'évasion en boite<ul>
            <li>Jeu d'évasion où l'activité (défis, énigmes, etc.) est présentée majoritairement sur des supports (à l'instar d'un jeu de plateau).<br /></li>
        </ul>
    </li>
    <li>Livre jeu d'évasion<ul>
            <li>Jeu d'évasion où l'activité est présentée majoritairement dans un livre.<br /></li>
        </ul>
    </li>
    <li>Jeu d'évasion vidéo<ul>
            <li>Jeu d'évasion impliquant un environnement simulé électroniquement.</li>
        </ul>
    </li>
</ul>
<div class=""alert alert-primary"">


<p>*Source :</p>
<div title=""Page 1"">Adrien Barton et Quentin Rano, « Les frontières de l’évasion : Une taxonomie du jeu d'évasion »,
    <em>Sciences du jeu</em> [En ligne], 16 | 2021, mis en ligne le 04 novembre 2021, consulté le 26 novembre 2021.
    URL : http://journals.openedition.org/sdj/3453 ; DOI : https://doi.org/10.4000/sdj.3453

</div>

</div><br />
<p></p>"
"Cercle magique du jeu","<p>Le cercle magique du jeu est un concept utilisé dans les jeux sérieux et les jeux vidéo en général faisant référence à la frontière symbolique qui sépare le monde réel de celui du jeu.</p><p>Lorsque les joueurs entrent dans le cercle magique, ils acceptent les règles et les normes du jeu, et s'engagent à jouer selon les attentes de celui-ci. Le cercle magique crée ainsi un espace où les joueurs peuvent explorer, apprendre et expérimenter de manière sûre et contrôlée, sans conséquence réelle sur le monde réel.</p><p>Dans les jeux sérieux, le cercle magique peut aider les joueurs à s'engager plus profondément dans le jeu, à apprendre de manière plus efficace et à se sentir plus motivés. Il peut également permettre aux joueurs de transférer les compétences et les connaissances acquises dans le jeu vers le monde réel.</p><p>En tant que concept, le cercle magique est souvent associé à la théorie du jeu de Johan Huizinga, qui considère le jeu comme un espace séparé du monde réel, avec ses propres règles et conventions.</p>","<p>Concept développé par Bernard De Koven, un écrivain et conférencier américain spécialisé dans les jeux. Il décrit un état mental dans lequel les joueurs sont totalement immergés dans le jeu et où ils oublient leur environnement extérieur.</p>
<ol>
    <li>L’entrée : C'est le moment où les joueurs commencent à jouer et où ils sont introduits dans le monde du jeu.</li>
    <li>L’abandon : Les joueurs abandonnent leur vie réelle et s'immergent complètement dans le jeu.</li>
    <li>La transformation : Les joueurs se transforment en personnages dans le jeu et prennent leur rôle à cœur.</li>
    <li>L’épanouissement : Les joueurs épanouissent dans le jeu et se sentent libres et heureux.</li>
    <li>La sortie : C'est le moment où les joueurs quittent le jeu et retournent à leur vie réelle.</li>
</ol>
<p>Selon Bernard De Koven, pour atteindre ce cercle magique, il est important de créer un environnement de jeu qui encourage l'abandon, la transformation et l'épanouissement, avec des règles claires et un univers immersif. Dans le cas des escape games, cela peut se faire en créant une histoire captivante, des décors immersifs, des énigmes logiques et un univers cohérent pour les joueurs.</p>
<div class=""alert alert-info"">
    <p><i class=""fa fa-lightbulb-o""></i> La notion de cercle magique du jeu est proche de celle plus connue de ""suspension consentie de l'incrédulité"". Cette dernière est un concept qui a été développé par le philosophe anglais Samuel Taylor Coleridge. Elle fait référence à la capacité de l'esprit humain à accepter temporairement des situations imaginaires ou des histoires fictives comme si elles étaient réelles.<br /><br />Dans le contexte des jeux, la suspension consentie de l'incrédulité est ce qui permet aux joueurs d'accepter l'univers fictif du jeu comme s'il était réel. Le cercle magique du jeu contribue à cette suspension consentie de l'incrédulité en créant un espace symbolique qui sépare le monde réel du monde fictif du jeu.<br /><br />En entrant dans le cercle magique, les joueurs acceptent implicitement les règles et les normes du jeu, ce qui leur permet de s'immerger plus facilement dans l'univers fictif et de se concentrer sur les objectifs du jeu.<br /><br /><i class=""fa fa-hand-o-right""></i> La suspension consentie de l'incrédulité et le cercle magique du jeu sont deux concepts étroitement liés, qui permettent aux joueurs de s'immerger dans des univers fictifs et de profiter pleinement de l'expérience ludique.<br /></p>
</div>"
"Serious game pédagogique","Activité pédagogique relevant des méthodes actives dont la finalité est de générer de l’apprentissage en utilisant des mécaniques issues du jeu.","<h4 dir=""ltr"" style=""text-align:left;"">Définitions complémentaires<br /></h4><p></p><p dir=""ltr"">Activité
 pédagogique utilisant des élément du jeu pour enseigner une compétences
 spécifique ou atteindre un résultat d’apprentissage spécifique.</p><br /><p></p>"
"Game design","<p dir=""ltr"" style=""text-align:left;"">Processus par lequel un concepteur crée un jeu, destiné à être utilisé par un joueur, afin que naisse une expérience de jeu.<br /></p>",
"Jeu (activité)","<p dir=""ltr"" style=""text-align:left;"">Activité divertissante, soumise ou non à des règles, pratiquée de manière désintéressée.<br /></p>",
"Jeu (support)","<p dir=""ltr"" style=""text-align:left;"">Ensemble des procédés et matériaux par lesquels l’activité de jeu peut être matérialisée et réalisée.<br /></p>","<p dir=""ltr"" style=""text-align:left;"">La finalité principale du support de jeu est double :</p><ul><li>donner un cadre permettant au joueur d’agir, et d’appliquer les règles du jeu en réponse aux actions du joueur (par exemple l’échiquier délimite l’action des pièces d’échec, et la forme des pièces permet d’en connaître les possibilités de déplacement)<br /></li><li>permettre de retenir l’état actuel du jeu en mémorisant l’état des chacun des éléments qui le composent à des moments clés (l’ordre des cartes dans un jeu de cartes, la position des pièces et pions dans un jeu de plateau, etc.).<br /></li></ul>"
